sampleid	Name	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
1000IBD00676	Debaryomyces hansenii CBS767	284592	10	25	5.46%	13.26%	99.95%
1000IBD00682	Blastocystis sp. subtype 3	944168	10	36	45.45%	9.44%	99.84%
1000IBD00682	Saccharomyces cerevisiae S288C	559292	25	46	13.74%	7.44%	99.8%
1000IBD00698	Saccharomyces cerevisiae S288C	559292	25	49	13.74%	5.02%	99.71%
1000IBD00385	Saccharomyces cerevisiae S288C	559292	4	7	2.2%	6.64%	99.8%
1000IBD00394	Debaryomyces hansenii CBS767	284592	7	13	3.83%	5.18%	99.77%
1000IBD00476	Blastocystis sp. subtype 4	944170	9	51	90.0%	19.76%	99.82%
1000IBD00480	Blastocystis sp. subtype 2	944160	10	24	47.62%	7.45%	98.98%
1000IBD00487	Saccharomyces cerevisiae S288C	559292	13	31	7.14%	6.07%	99.33%
1000IBD00581	Saccharomyces cerevisiae S288C	559292	74	198	40.66%	7.69%	99.52%
1000IBD00581	Candida albicans SC5314	237561	38	81	22.62%	7.17%	99.63%
1000IBD00614	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	6.59%	100.0%
1000IBD00675	Debaryomyces hansenii CBS767	284592	33	67	18.03%	5.19%	99.46%
1000IBD00679	Saccharomyces cerevisiae S288C	559292	39	79	21.43%	6.93%	99.7%
1000IBD00680	Blastocystis sp. subtype 4	944170	2	4	20.0%	6.28%	100.0%
1000IBD00705	Saccharomyces cerevisiae S288C	559292	2	5	1.1%	2.74%	99.74%
1000IBD00708	Saccharomyces cerevisiae S288C	559292	6	12	3.3%	8.43%	99.69%
1000IBD00715	Saccharomyces cerevisiae S288C	559292	23	51	12.64%	5.18%	99.51%
1000IBD00720	Cyberlindnera jadinii NRRL Y-1542	983966	10	20	5.78%	4.6%	99.62%
1000IBD01328	Saccharomyces cerevisiae S288C	559292	14	26	7.69%	7.56%	99.9%
1000IBD01329	Blastocystis sp. subtype 3	944168	9	28	40.91%	8.94%	99.53%
