sampleid	Name	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
SRR5127685	Blastocystis sp. subtype 2	944160	4	9	19.05%	4.31%	99.28%
SRR5127688	Blastocystis sp. subtype 3	944168	15	54	68.18%	11.58%	99.37%
SRR5127698	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	5.75%	100.0%
SRR5127707	Blastocystis sp. subtype 2	944160	7	13	33.33%	5.67%	98.5%
SRR5127709	Blastocystis sp. subtype 4	944170	5	11	50.0%	7.34%	99.44%
SRR5127710	Blastocystis sp. ATCC 50177/Nand II	478820	4	8	20.0%	7.26%	99.81%
SRR5127715	Blastocystis sp. subtype 2	944160	11	31	52.38%	9.89%	98.38%
SRR5127717	Blastocystis sp. subtype 3	944168	14	38	63.64%	8.14%	99.51%
SRR5127728	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	11.63%	99.6%
SRR5127731	Blastocystis sp. ATCC 50177/Nand II	478820	2	4	10.0%	6.92%	99.05%
SRR5127737	Blastocystis sp. subtype 3	944168	15	49	68.18%	10.24%	99.4%
SRR5127738	Blastocystis sp. ATCC 50177/Nand II	478820	3	6	15.0%	3.36%	98.65%
SRR5127739	Saccharomyces cerevisiae S288C	559292	6	13	3.3%	6.99%	99.48%
SRR5127744	Debaryomyces hansenii CBS767	284592	3	6	1.64%	4.35%	99.78%
SRR5127754	Blastocystis sp. subtype 3	944168	11	23	50.0%	7.75%	99.22%
SRR5127754	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	9.26%	100.0%
SRR5127756	Blastocystis sp. subtype 3	944168	11	35	50.0%	9.66%	99.43%
SRR5127764	Blastocystis sp. subtype 2	944160	2	5	9.52%	5.25%	97.09%
SRR5127770	Blastocystis sp. subtype 2	944160	7	13	33.33%	7.25%	99.13%
SRR5127772	Blastocystis sp. subtype 2	944160	3	9	14.29%	15.44%	98.72%
SRR5127773	Blastocystis sp. subtype 2	944160	17	74	80.95%	13.18%	98.88%
SRR5127774	Blastocystis sp. ATCC 50177/Nand II	478820	5	8	25.0%	8.84%	98.49%
SRR5127780	Blastocystis sp. subtype 2	944160	2	4	9.52%	7.98%	98.56%
SRR5127782	Blastocystis sp. ATCC 50177/Nand II	478820	9	36	45.0%	11.04%	98.95%
SRR5127783	Blastocystis sp. subtype 3	944168	15	62	68.18%	11.2%	99.44%
SRR5127791	Blastocystis sp. subtype 3	944168	12	28	54.55%	6.79%	99.49%
SRR5127793	Blastocystis sp. subtype 4	944170	2	4	20.0%	4.27%	100.0%
SRR5127796	Blastocystis sp. subtype 3	944168	7	17	31.82%	6.27%	99.07%
SRR5127798	Blastocystis sp. subtype 2	944160	3	6	14.29%	6.64%	98.78%
SRR5127801	Blastocystis sp. subtype 2	944160	3	7	14.29%	6.11%	98.91%
SRR5127803	Blastocystis sp. subtype 3	944168	3	7	13.64%	7.8%	99.23%
SRR5127806	Blastocystis sp. ATCC 50177/Nand II	478820	2	4	10.0%	5.23%	98.48%
SRR5127810	Saccharomyces cerevisiae S288C	559292	3	6	1.65%	4.4%	100.0%
SRR5127815	Blastocystis sp. subtype 2	944160	2	4	9.52%	8.54%	98.34%
SRR5127821	Cyberlindnera jadinii NRRL Y-1542	983966	3	6	1.73%	5.87%	99.56%
SRR5127821	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	1.92%	99.35%
SRR5127823	Blastocystis sp. subtype 3	944168	14	40	63.64%	7.78%	99.57%
SRR5127828	Blastocystis sp. ATCC 50177/Nand II	478820	3	11	15.0%	8.46%	99.48%
SRR5127831	Blastocystis sp. subtype 2	944160	4	7	19.05%	2.61%	99.44%
SRR5127832	Saccharomyces cerevisiae S288C	559292	3	6	1.65%	4.42%	100.0%
SRR5127841	Blastocystis sp. subtype 3	944168	13	52	59.09%	10.36%	99.12%
SRR5127842	Blastocystis sp. subtype 2	944160	5	12	23.81%	6.35%	99.0%
SRR5127844	Blastocystis sp. ATCC 50177/Nand II	478820	12	26	60.0%	6.94%	99.57%
SRR5127847	Blastocystis sp. subtype 3	944168	18	108	81.82%	18.93%	99.45%
SRR5127847	Saccharomyces cerevisiae S288C	559292	2	4	1.1%	3.75%	100.0%
SRR5127848	Blastocystis sp. ATCC 50177/Nand II	478820	3	5	15.0%	3.47%	98.91%
SRR5127850	Blastocystis sp. subtype 4	944170	8	41	80.0%	16.07%	99.8%
SRR5127854	Blastocystis sp. subtype 2	944160	3	8	14.29%	12.92%	97.36%
SRR5127855	Blastocystis sp. subtype 2	944160	5	12	23.81%	7.75%	99.27%
SRR5127857	Blastocystis sp. subtype 3	944168	15	53	68.18%	10.98%	99.46%
SRR5127858	Blastocystis sp. subtype 2	944160	14	76	66.67%	13.7%	99.1%
SRR5127860	Saccharomyces cerevisiae S288C	559292	4	7	2.2%	4.0%	99.77%
